datetime,S,I,r,D
28-Aug-2020,10732018,6955,29169,1154
29-Aug-2020,10731186,7233,29710,1167
30-Aug-2020,10730321,7522,30273,1180
31-Aug-2020,10729422,7822,30859,1193
01-Sep-2020,10728487,8134,31468,1208
02-Sep-2020,10727515,8459,32101,1222
03-Sep-2020,10726503,8796,32759,1238
04-Sep-2020,10725452,9147,33444,1254
05-Sep-2020,10724359,9511,34156,1270
06-Sep-2020,10723223,9890,34896,1287
07-Sep-2020,10722041,10284,35666,1305
08-Sep-2020,10720812,10694,36466,1324
09-Sep-2020,10719535,11119,37298,1343
10-Sep-2020,10718207,11562,38164,1363
11-Sep-2020,10716826,12022,39064,1384
12-Sep-2020,10715391,12500,39999,1406
13-Sep-2020,10713898,12997,40972,1429
14-Sep-2020,10712347,13513,41984,1452
15-Sep-2020,10710734,14050,43035,1477
16-Sep-2020,10709058,14607,44129,1502
17-Sep-2020,10707315,15187,45266,1529
18-Sep-2020,10705503,15789,46448,1556
19-Sep-2020,10703620,16415,47676,1585
20-Sep-2020,10701663,17065,48954,1615
21-Sep-2020,10699628,17741,50282,1646
22-Sep-2020,10697514,18442,51662,1678
23-Sep-2020,10695316,19172,53098,1711
24-Sep-2020,10693031,19929,54590,1746
25-Sep-2020,10690658,20716,56140,1782
26-Sep-2020,10688191,21534,57752,1819
27-Sep-2020,10685627,22383,59428,1858
28-Sep-2020,10682963,23265,61170,1899
29-Sep-2020,10680194,24180,62980,1941
30-Sep-2020,10677318,25132,64862,1985
01-Oct-2020,10674329,26120,66817,2030
02-Oct-2020,10671223,27145,68850,2078
03-Oct-2020,10667997,28210,70962,2127
04-Oct-2020,10664645,29316,73157,2178
05-Oct-2020,10661163,30464,75438,2231
06-Oct-2020,10657546,31656,77808,2286
07-Oct-2020,10653789,32893,80271,2344
08-Oct-2020,10649886,34177,82830,2403
09-Oct-2020,10645833,35509,85489,2465
10-Oct-2020,10641623,36892,88251,2529
11-Oct-2020,10637252,38327,91122,2596
12-Oct-2020,10632712,39815,94103,2666
13-Oct-2020,10627998,41360,97200,2738
14-Oct-2020,10623104,42962,100418,2813
15-Oct-2020,10618022,44623,103760,2891
16-Oct-2020,10612747,46347,107231,2971
17-Oct-2020,10607271,48134,110836,3055
18-Oct-2020,10601587,49987,114580,3142
19-Oct-2020,10595688,51907,118468,3233
20-Oct-2020,10589566,53899,122505,3327
21-Oct-2020,10583212,55962,126697,3424
22-Oct-2020,10576620,58101,131049,3526
23-Oct-2020,10569780,60317,135567,3631
24-Oct-2020,10562685,62613,140258,3740
25-Oct-2020,10555325,64991,145127,3854
26-Oct-2020,10547691,67454,150181,3971
27-Oct-2020,10539773,70004,155425,4093
28-Oct-2020,10531563,72644,160868,4220
29-Oct-2020,10523051,75377,166516,4352
30-Oct-2020,10514226,78205,172377,4488
31-Oct-2020,10505078,81132,178456,4629
01-Nov-2020,10495597,84159,184763,4776
02-Nov-2020,10485772,87290,191305,4929
03-Nov-2020,10475591,90528,198090,5087
04-Nov-2020,10465044,93875,205126,5250
05-Nov-2020,10454119,97335,212422,5420
06-Nov-2020,10442803,100909,219987,5596
07-Nov-2020,10431086,104602,227829,5779
08-Nov-2020,10418955,108416,235957,5968
09-Nov-2020,10406397,112354,244381,6164
10-Nov-2020,10393400,116419,253110,6367
11-Nov-2020,10379951,120613,262154,6578
12-Nov-2020,10366036,124939,271524,6796
13-Nov-2020,10351644,129401,281229,7022
14-Nov-2020,10336759,134001,291280,7256
15-Nov-2020,10321370,138741,301687,7498
16-Nov-2020,10305461,143625,312461,7749
17-Nov-2020,10289020,148654,323614,8009
18-Nov-2020,10272032,153831,335156,8278
19-Nov-2020,10254483,159158,347099,8556
20-Nov-2020,10236361,164638,359454,8843
21-Nov-2020,10217650,170272,372233,9141
22-Nov-2020,10198337,176062,385449,9448
23-Nov-2020,10178407,182010,399112,9766
24-Nov-2020,10157847,188118,413235,10095
25-Nov-2020,10136644,194386,427831,10435
26-Nov-2020,10114783,200816,442911,10786
27-Nov-2020,10092251,207408,458488,11149
28-Nov-2020,10069035,214163,474575,11523
29-Nov-2020,10045122,221081,491183,11910
30-Nov-2020,10020500,228162,508325,12309
01-Dec-2020,9995155,235406,526014,12721
02-Dec-2020,9969077,242811,544262,13146
03-Dec-2020,9942253,250377,563082,13584
04-Dec-2020,9914674,258102,582485,14035
05-Dec-2020,9886328,265984,602483,14501
