datetime,S,I,r,D
28-Sep-2020,10712347,4075,50227,1624
29-Sep-2020,10711861,4237,50544,1631
30-Sep-2020,10711355,4405,50874,1639
01-Oct-2020,10710829,4580,51217,1647
02-Oct-2020,10710283,4762,51573,1655
03-Oct-2020,10709714,4951,51944,1664
04-Oct-2020,10709124,5147,52329,1673
05-Oct-2020,10708509,5352,52730,1682
06-Oct-2020,10707871,5564,53146,1692
07-Oct-2020,10707207,5785,53579,1702
08-Oct-2020,10706517,6014,54029,1712
09-Oct-2020,10705800,6252,54497,1723
10-Oct-2020,10705054,6500,54984,1735
11-Oct-2020,10704279,6758,55490,1746
12-Oct-2020,10703473,7026,56016,1759
13-Oct-2020,10702635,7304,56563,1771
14-Oct-2020,10701764,7593,57131,1785
15-Oct-2020,10700859,7894,57722,1798
16-Oct-2020,10699918,8206,58336,1813
17-Oct-2020,10698939,8531,58975,1828
18-Oct-2020,10697923,8869,59639,1843
19-Oct-2020,10696866,9219,60329,1859
20-Oct-2020,10695767,9584,61046,1876
21-Oct-2020,10694625,9963,61792,1893
22-Oct-2020,10693438,10356,62567,1911
23-Oct-2020,10692204,10765,63373,1930
24-Oct-2020,10690922,11190,64211,1950
25-Oct-2020,10689589,11632,65082,1970
26-Oct-2020,10688204,12091,65987,1991
27-Oct-2020,10686764,12568,66928,2013
28-Oct-2020,10685268,13063,67906,2036
29-Oct-2020,10683713,13578,68922,2059
30-Oct-2020,10682097,14113,69979,2084
31-Oct-2020,10680418,14668,71077,2109
01-Nov-2020,10678673,15245,72219,2136
02-Nov-2020,10676859,15845,73405,2164
03-Nov-2020,10674975,16468,74638,2192
04-Nov-2020,10673017,17115,75919,2222
05-Nov-2020,10670982,17787,77251,2253
06-Nov-2020,10668868,18485,78635,2285
07-Nov-2020,10666672,19209,80073,2319
08-Nov-2020,10664389,19962,81568,2354
09-Nov-2020,10662018,20744,83121,2390
10-Nov-2020,10659555,21556,84735,2427
11-Nov-2020,10656996,22399,86412,2466
12-Nov-2020,10654337,23274,88155,2507
13-Nov-2020,10651576,24183,89965,2549
14-Nov-2020,10648707,25126,91847,2593
15-Nov-2020,10645727,26106,93802,2638
16-Nov-2020,10642632,27122,95833,2686
17-Nov-2020,10639418,28178,97943,2735
18-Nov-2020,10636079,29273,100135,2786
19-Nov-2020,10632612,30410,102412,2839
20-Nov-2020,10629012,31590,104778,2894
21-Nov-2020,10625273,32814,107235,2951
22-Nov-2020,10621391,34084,109788,3011
23-Nov-2020,10617360,35402,112439,3072
24-Nov-2020,10613175,36769,115193,3136
25-Nov-2020,10608830,38187,118053,3203
26-Nov-2020,10604320,39658,121023,3272
27-Nov-2020,10599638,41183,124108,3344
28-Nov-2020,10594778,42765,127311,3419
29-Nov-2020,10589734,44406,130637,3496
30-Nov-2020,10584500,46106,134091,3576
01-Dec-2020,10579067,47869,137676,3660
02-Dec-2020,10573430,49697,141399,3746
03-Dec-2020,10567582,51591,145264,3836
04-Dec-2020,10561514,53553,149276,3930
05-Dec-2020,10555219,55587,153440,4027
06-Dec-2020,10548689,57694,157763,4127
07-Dec-2020,10541916,59876,162249,4232
08-Dec-2020,10534892,62136,166904,4340
09-Dec-2020,10527609,64476,171735,4453
10-Dec-2020,10520056,66899,176748,4569
11-Dec-2020,10512226,69408,181949,4691
12-Dec-2020,10504108,72004,187345,4816
13-Dec-2020,10495694,74690,192942,4946
14-Dec-2020,10486974,77469,198748,5082
15-Dec-2020,10477937,80344,204770,5222
16-Dec-2020,10468573,83318,211015,5367
17-Dec-2020,10458872,86392,217490,5518
18-Dec-2020,10448824,89570,224205,5674
19-Dec-2020,10438416,92855,231165,5836
20-Dec-2020,10427639,96249,238381,6004
21-Dec-2020,10416480,99755,245860,6178
22-Dec-2020,10404927,103376,253611,6359
23-Dec-2020,10392970,107115,261643,6546
24-Dec-2020,10380595,110974,269964,6740
25-Dec-2020,10367791,114956,278585,6940
26-Dec-2020,10354545,119065,287515,7148
27-Dec-2020,10340845,123302,296763,7363
28-Dec-2020,10326677,127670,306339,7586
29-Dec-2020,10312029,132172,316254,7817
30-Dec-2020,10296888,136811,326518,8056
31-Dec-2020,10281240,141589,337141,8303
01-Jan-2021,10265072,146508,348134,8559
02-Jan-2021,10248370,151571,359508,8824
03-Jan-2021,10231121,156780,371274,9098
04-Jan-2021,10213312,162137,383443,9381
05-Jan-2021,10194929,167643,396026,9674
06-Jan-2021,10175958,173301,409036,9977
07-Jan-2021,10156386,179113,422484,10290
08-Jan-2021,10136200,185079,436380,10614
09-Jan-2021,10115385,191201,450739,10948
10-Jan-2021,10093930,197480,465570,11293
11-Jan-2021,10071820,203917,480886,11650
12-Jan-2021,10049043,210511,496700,12018
13-Jan-2021,10025587,217265,513023,12398
14-Jan-2021,10001438,224176,529868,12790
15-Jan-2021,9976586,231246,547246,13195
16-Jan-2021,9951018,238472,565170,13612
17-Jan-2021,9924724,245855,583651,14042
18-Jan-2021,9897692,253393,602702,14486
19-Jan-2021,9869913,261083,622334,14943
20-Jan-2021,9841377,268924,642558,15414
21-Jan-2021,9812074,276914,663387,15899
22-Jan-2021,9781997,285048,684831,16398
23-Jan-2021,9751137,293323,706901,16912
24-Jan-2021,9719489,301736,729608,17440
25-Jan-2021,9687046,310281,752962,17984
26-Jan-2021,9653803,318953,776973,18543
27-Jan-2021,9619757,327748,801651,19117
28-Jan-2021,9584903,336658,827004,19708
29-Jan-2021,9549240,345677,853042,20314
30-Jan-2021,9512767,354798,879772,20936
31-Jan-2021,9475483,364013,907202,21575
01-Feb-2021,9437391,373314,935338,22230
02-Feb-2021,9398493,382691,964188,22901
03-Feb-2021,9358793,392135,993755,23590
04-Feb-2021,9318296,401637,1024046,24295
05-Feb-2021,9277008,411185,1055063,25017
06-Feb-2021,9234938,420768,1086811,25756
07-Feb-2021,9192095,430375,1119291,26512
08-Feb-2021,9148490,439993,1152505,27285
09-Feb-2021,9104135,449610,1186452,28076
10-Feb-2021,9059043,459213,1221134,28883
11-Feb-2021,9013230,468788,1256547,29708
12-Feb-2021,8966713,478321,1292690,30549
13-Feb-2021,8919509,487798,1329558,31407
14-Feb-2021,8871638,497205,1367147,32282
15-Feb-2021,8823121,506527,1405451,33174
16-Feb-2021,8773980,515748,1444462,34082
17-Feb-2021,8724240,524853,1484173,35007
18-Feb-2021,8673924,533827,1524574,35947
19-Feb-2021,8623060,542655,1565654,36904
20-Feb-2021,8571675,551320,1607402,37876
21-Feb-2021,8519798,559807,1649805,38863
22-Feb-2021,8467458,568102,1692848,39865
23-Feb-2021,8414687,576189,1736516,40881
24-Feb-2021,8361515,584053,1780793,41912
25-Feb-2021,8307976,591679,1825661,42957
26-Feb-2021,8254103,599053,1871102,44015
27-Feb-2021,8199931,606161,1917096,45085
28-Feb-2021,8145494,612989,1963621,46169
01-Mar-2021,8090828,619525,2010657,47264
02-Mar-2021,8035968,625756,2058179,48370
03-Mar-2021,7980950,631670,2106165,49487
04-Mar-2021,7925811,637256,2154591,50614
05-Mar-2021,7870587,642505,2203429,51751
06-Mar-2021,7815314,647406,2252656,52897
07-Mar-2021,7760029,651950,2302242,54052
08-Mar-2021,7704767,656130,2352162,55214
09-Mar-2021,7649565,659938,2402387,56383
10-Mar-2021,7594459,663368,2452887,57559
11-Mar-2021,7539483,666415,2503635,58740
12-Mar-2021,7484671,669075,2554600,59927
13-Mar-2021,7430058,671343,2605754,61118
14-Mar-2021,7375676,673219,2657066,62312
15-Mar-2021,7321558,674700,2708506,63510
16-Mar-2021,7267734,675785,2760044,64710
17-Mar-2021,7214237,676475,2811650,65911
18-Mar-2021,7161095,676771,2863293,67113
19-Mar-2021,7108336,676676,2914944,68316
20-Mar-2021,7055989,676193,2966573,69518
21-Mar-2021,7004079,675325,3018150,70718
22-Mar-2021,6952631,674078,3069646,71917
23-Mar-2021,6901670,672456,3121034,73114
24-Mar-2021,6851217,670467,3172283,74307
25-Mar-2021,6801294,668117,3223366,75496
26-Mar-2021,6751921,665414,3274257,76681
27-Mar-2021,6703117,662367,3324928,77860
28-Mar-2021,6654900,658984,3375354,79034
29-Mar-2021,6607286,655276,3425509,80202
30-Mar-2021,6560290,651252,3475369,81363
31-Mar-2021,6513925,646922,3524910,82516
01-Apr-2021,6468204,642298,3574109,83661
02-Apr-2021,6423139,637390,3622945,84798
03-Apr-2021,6378740,632211,3671396,85926
04-Apr-2021,6335015,626773,3719441,87045
05-Apr-2021,6291972,621086,3767062,88153
06-Apr-2021,6249617,615165,3814239,89252
07-Apr-2021,6207958,609020,3860956,90339
08-Apr-2021,6166997,602664,3907196,91416
09-Apr-2021,6126738,596110,3952943,92481
10-Apr-2021,6087185,589370,3998183,93534
11-Apr-2021,6048338,582457,4042902,94575
12-Apr-2021,6010199,575383,4087087,95604
13-Apr-2021,5972767,568160,4130726,96620
14-Apr-2021,5936040,560801,4173809,97623
15-Apr-2021,5900018,553317,4216325,98612
16-Apr-2021,5864698,545720,4258266,99589
17-Apr-2021,5830076,538022,4299623,100552
18-Apr-2021,5796149,530234,4340389,101501
19-Apr-2021,5762912,522367,4380557,102436
20-Apr-2021,5730361,514432,4420123,103357
21-Apr-2021,5698490,506439,4459080,104264
22-Apr-2021,5667293,498398,4497426,105157
23-Apr-2021,5636762,490320,4535156,106035
24-Apr-2021,5606892,482213,4572268,106899
25-Apr-2021,5577675,474088,4608761,107749
26-Apr-2021,5549103,465952,4644634,108584
27-Apr-2021,5521168,457814,4679886,109404
28-Apr-2021,5493863,449683,4714517,110211
29-Apr-2021,5467177,441566,4748527,111002
30-Apr-2021,5441103,433471,4781919,111780
01-May-2021,5415632,425404,4814694,112543
02-May-2021,5390754,417372,4846855,113291
03-May-2021,5366460,409383,4878404,114026
04-May-2021,5342741,401440,4909345,114746
05-May-2021,5319587,393551,4939682,115453
06-May-2021,5296988,385721,4969419,116145
07-May-2021,5274934,377954,4998561,116823
08-May-2021,5253416,370256,5027113,117488
09-May-2021,5232424,362630,5055080,118139
10-May-2021,5211948,355081,5082468,118777
11-May-2021,5191978,347612,5109283,119401
12-May-2021,5172504,340227,5135531,120012
13-May-2021,5153517,332928,5161218,120610
14-May-2021,5135006,325720,5186352,121195
