datetime,S,I,Q,R,D
18-Dec-2020,10459078,50606,52636,202840,5327
19-Dec-2020,10454714,49990,53107,207263,5413
20-Dec-2020,10450406,49379,53482,211721,5499
21-Dec-2020,10446151,48775,53768,216206,5586
22-Dec-2020,10441951,48176,53974,220712,5674
23-Dec-2020,10437804,47583,54107,225232,5762
24-Dec-2020,10433710,46995,54172,229761,5850
25-Dec-2020,10429667,46413,54177,234292,5938
26-Dec-2020,10425677,45837,54126,238821,6025
27-Dec-2020,10421738,45267,54025,243344,6113
28-Dec-2020,10417849,44702,53879,247857,6201
29-Dec-2020,10414010,44143,53691,252355,6288
30-Dec-2020,10410220,43589,53466,256836,6375
31-Dec-2020,10406480,43041,53207,261297,6462
01-Jan-2021,10402788,42499,52917,265735,6548
02-Jan-2021,10399144,41962,52600,270148,6634
