datetime,S,NQ,NR,ND,I,Q,R,D
28-Sep-2020,10412544,10091,244133,5341,29675,15689,51151,1862
29-Sep-2020,10409718,10090,245446,5388,30329,15603,52027,1886
30-Sep-2020,10406868,10088,246752,5435,30998,15539,52898,1910
01-Oct-2020,10403992,10086,248051,5482,31681,15495,53766,1934
02-Oct-2020,10401090,10084,249344,5529,32378,15473,54632,1958
03-Oct-2020,10398161,10081,250630,5576,33091,15469,55497,1982
04-Oct-2020,10395205,10079,251909,5623,33818,15485,56363,2005
05-Oct-2020,10392220,10076,253182,5670,34561,15518,57230,2029
06-Oct-2020,10389206,10074,254448,5717,35320,15570,58099,2053
07-Oct-2020,10386162,10071,255707,5764,36095,15638,58972,2077
08-Oct-2020,10383087,10068,256960,5811,36887,15723,59849,2101
09-Oct-2020,10379981,10065,258207,5858,37695,15823,60732,2125
10-Oct-2020,10376843,10063,259446,5905,38521,15940,61620,2150
11-Oct-2020,10373671,10060,260679,5952,39364,16071,62515,2174
12-Oct-2020,10370465,10057,261906,5999,40225,16217,63418,2199
13-Oct-2020,10367225,10054,263126,6046,41104,16378,64330,2224
14-Oct-2020,10363948,10051,264340,6093,42002,16553,65251,2250
15-Oct-2020,10360635,10048,265547,6140,42918,16741,66182,2275
16-Oct-2020,10357285,10045,266748,6187,43854,16943,67124,2301
17-Oct-2020,10353896,10041,267942,6233,44810,17158,68078,2327
18-Oct-2020,10350468,10038,269130,6280,45786,17387,69044,2354
19-Oct-2020,10346999,10035,270312,6327,46782,17628,70024,2381
20-Oct-2020,10343489,10032,271487,6374,47799,17881,71017,2408
21-Oct-2020,10339936,10028,272656,6421,48838,18147,72025,2436
22-Oct-2020,10336341,10025,273819,6467,49898,18426,73048,2464
23-Oct-2020,10332701,10022,274975,6514,50980,18717,74086,2492
24-Oct-2020,10329015,10018,276125,6561,52085,19019,75142,2521
25-Oct-2020,10325283,10015,277269,6608,53213,19334,76215,2551
26-Oct-2020,10321503,10011,278406,6654,54365,19661,77305,2581
27-Oct-2020,10317675,10008,279537,6701,55540,20000,78415,2611
28-Oct-2020,10313796,10004,280663,6748,56740,20350,79543,2642
29-Oct-2020,10309867,10001,281781,6794,57965,20713,80692,2674
30-Oct-2020,10305886,9997,282894,6841,59215,21087,81861,2706
31-Oct-2020,10301851,9993,284001,6887,60491,21473,83051,2739
01-Nov-2020,10297762,9990,285101,6934,61793,21871,84264,2772
02-Nov-2020,10293617,9986,286196,6981,63122,22281,85499,2806
03-Nov-2020,10289416,9982,287284,7027,64478,22703,86757,2841
04-Nov-2020,10285155,9978,288366,7074,65862,23137,88039,2876
05-Nov-2020,10280836,9974,289442,7120,67275,23582,89346,2912
