datetime,S,NQ,NR,ND,I,Q,R,D
09-Sep-2020,10449804,10134,217892,4445,38632,13169,34993,1418
10-Sep-2020,10446400,10131,219338,4493,39490,13458,35738,1439
11-Sep-2020,10442962,10128,220777,4540,40368,13754,36499,1459
12-Sep-2020,10439489,10125,222209,4587,41264,14056,37277,1481
13-Sep-2020,10435980,10121,223632,4634,42179,14365,38072,1503
14-Sep-2020,10432434,10118,225049,4682,43114,14680,38884,1525
15-Sep-2020,10428851,10115,226458,4729,44069,15003,39715,1548
16-Sep-2020,10425230,10111,227859,4776,45045,15332,40563,1571
17-Sep-2020,10421568,10108,229253,4823,46041,15669,41430,1595
18-Sep-2020,10417866,10105,230639,4870,47058,16013,42316,1619
19-Sep-2020,10414123,10101,232018,4917,48097,16364,43222,1644
20-Sep-2020,10410336,10098,233390,4964,49158,16723,44147,1670
21-Sep-2020,10406506,10094,234755,5011,50242,17090,45093,1696
22-Sep-2020,10402631,10090,236112,5059,51349,17465,46060,1722
23-Sep-2020,10398710,10087,237462,5106,52479,17847,47047,1749
24-Sep-2020,10394742,10083,238804,5153,53633,18238,48057,1777
25-Sep-2020,10390726,10079,240140,5200,54811,18638,49088,1805
26-Sep-2020,10386661,10076,241468,5247,56014,19046,50142,1834
27-Sep-2020,10382545,10072,242789,5294,57242,19462,51219,1864
28-Sep-2020,10378378,10068,244103,5341,58496,19888,52320,1894
