SIRQN RMSE
State,Fitting,Prediction
NQ,3410.2,4517.5
NR,2516.5,5839.9
ND,182.3,80.5
Q,988.7,407.9
R,1361.3,492.5
D,10.9,87.8
Average,1411.7,1904.4
