datetime,S,I,Q,R,D
18-Aug-2020,10740013,2210,5963,20340,1022
19-Aug-2020,10739803,2245,5776,20693,1030
20-Aug-2020,10739590,2281,5603,21036,1039
21-Aug-2020,10739374,2317,5443,21368,1047
22-Aug-2020,10739154,2354,5296,21691,1054
23-Aug-2020,10738930,2391,5160,22006,1062
24-Aug-2020,10738703,2429,5035,22312,1069
25-Aug-2020,10738472,2468,4920,22612,1076
26-Aug-2020,10738238,2507,4815,22905,1083
27-Aug-2020,10738000,2547,4720,23192,1090
28-Aug-2020,10737758,2587,4633,23473,1097
29-Aug-2020,10737512,2629,4554,23750,1103
30-Aug-2020,10737262,2670,4484,24022,1110
31-Aug-2020,10737009,2713,4421,24290,1116
01-Sep-2020,10736751,2756,4364,24554,1122
02-Sep-2020,10736490,2800,4315,24815,1129
03-Sep-2020,10736224,2844,4272,25074,1135
04-Sep-2020,10735954,2889,4235,25330,1141
05-Sep-2020,10735679,2935,4203,25583,1147
06-Sep-2020,10735401,2982,4177,25836,1153
07-Sep-2020,10735118,3029,4156,26086,1159
08-Sep-2020,10734830,3077,4140,26336,1165
09-Sep-2020,10734538,3126,4128,26585,1171
10-Sep-2020,10734241,3176,4121,26833,1177
11-Sep-2020,10733939,3226,4119,27081,1183
12-Sep-2020,10733633,3277,4120,27329,1189
13-Sep-2020,10733322,3329,4125,27577,1194
14-Sep-2020,10733006,3382,4134,27826,1200
15-Sep-2020,10732685,3436,4146,28075,1206
16-Sep-2020,10732359,3490,4162,28325,1212
17-Sep-2020,10732028,3546,4181,28576,1218
18-Sep-2020,10731691,3602,4203,28828,1224
19-Sep-2020,10731349,3659,4228,29082,1230
20-Sep-2020,10731002,3717,4256,29337,1236
21-Sep-2020,10730649,3776,4286,29594,1243
22-Sep-2020,10730291,3836,4320,29853,1249
23-Sep-2020,10729927,3896,4356,30114,1255
24-Sep-2020,10729557,3958,4394,30378,1261
25-Sep-2020,10729182,4021,4435,30643,1268
26-Sep-2020,10728800,4084,4478,30912,1274
27-Sep-2020,10728413,4149,4524,31183,1280
28-Sep-2020,10728019,4215,4572,31456,1287
29-Sep-2020,10727619,4281,4621,31733,1294
30-Sep-2020,10727213,4349,4674,32013,1300
01-Oct-2020,10726800,4418,4728,32296,1307
02-Oct-2020,10726381,4487,4784,32582,1314
03-Oct-2020,10725956,4558,4842,32871,1321
04-Oct-2020,10725523,4630,4902,33165,1328
05-Oct-2020,10725084,4704,4964,33462,1335
06-Oct-2020,10724638,4778,5028,33762,1342
07-Oct-2020,10724185,4853,5094,34067,1349
08-Oct-2020,10723724,4930,5162,34376,1357
