datetime,S,I,Q,R,D
07-Dec-2020,10517405,30483,37565,180438,4597
08-Dec-2020,10514573,30907,37655,182701,4651
09-Dec-2020,10511702,31337,37772,184971,4705
10-Dec-2020,10508792,31772,37915,187249,4759
11-Dec-2020,10505842,32212,38083,189536,4814
12-Dec-2020,10502853,32657,38275,191834,4869
13-Dec-2020,10499823,33108,38489,194144,4924
14-Dec-2020,10496752,33564,38724,196468,4979
15-Dec-2020,10493640,34025,38981,198806,5035
16-Dec-2020,10490486,34492,39258,201161,5091
17-Dec-2020,10487290,34964,39553,203533,5147
18-Dec-2020,10484051,35441,39868,205923,5204
19-Dec-2020,10480769,35924,40199,208332,5262
20-Dec-2020,10477444,36413,40549,210763,5320
21-Dec-2020,10474074,36907,40914,213214,5378
22-Dec-2020,10470660,37407,41296,215688,5437
23-Dec-2020,10467200,37912,41693,218186,5497
24-Dec-2020,10463696,38423,42104,220708,5557
25-Dec-2020,10460145,38939,42531,223255,5617
26-Dec-2020,10456547,39462,42971,225828,5679
27-Dec-2020,10452903,39990,43425,228428,5741
28-Dec-2020,10449212,40524,43893,231056,5803
29-Dec-2020,10445472,41063,44373,233712,5867
30-Dec-2020,10441684,41609,44866,236398,5931
31-Dec-2020,10437847,42160,45371,239113,5995
01-Jan-2021,10433961,42717,45888,241860,6061
02-Jan-2021,10430026,43280,46416,244638,6127
03-Jan-2021,10426039,43849,46957,247448,6194
04-Jan-2021,10422002,44424,47508,250291,6262
05-Jan-2021,10417914,45005,48070,253167,6330
06-Jan-2021,10413774,45592,48644,256078,6400
07-Jan-2021,10409582,46184,49227,259023,6470
08-Jan-2021,10405337,46783,49822,262004,6541
09-Jan-2021,10401039,47388,50426,265021,6613
10-Jan-2021,10396688,47998,51041,268075,6686
11-Jan-2021,10392282,48615,51665,271166,6759
12-Jan-2021,10387821,49237,52300,274295,6834
13-Jan-2021,10383306,49866,52944,277462,6909
14-Jan-2021,10378735,50501,53597,280669,6986
15-Jan-2021,10374108,51141,54260,283915,7063
16-Jan-2021,10369424,51788,54933,287201,7141
17-Jan-2021,10364683,52441,55614,290528,7221
18-Jan-2021,10359885,53100,56305,293896,7301
19-Jan-2021,10355029,53764,57005,297306,7382
20-Jan-2021,10350115,54435,57714,300759,7464
21-Jan-2021,10345142,55112,58432,304254,7548
22-Jan-2021,10340110,55794,59158,307793,7632
23-Jan-2021,10335017,56483,59893,311376,7717
24-Jan-2021,10329865,57177,60637,315003,7804
25-Jan-2021,10324652,57878,61390,318676,7891
26-Jan-2021,10319378,58584,62151,322394,7980
27-Jan-2021,10314043,59296,62920,326158,8070
28-Jan-2021,10308646,60014,63698,329969,8161
29-Jan-2021,10303186,60738,64485,333826,8252
30-Jan-2021,10297663,61467,65279,337732,8346
31-Jan-2021,10292078,62203,66082,341685,8440
01-Feb-2021,10286428,62944,66893,345687,8535
02-Feb-2021,10280715,63690,67712,349738,8632
03-Feb-2021,10274937,64443,68539,353838,8729
04-Feb-2021,10269095,65200,69374,357989,8828
05-Feb-2021,10263187,65964,70217,362190,8928
06-Feb-2021,10257214,66732,71068,366442,9030
07-Feb-2021,10251175,67507,71927,370746,9132
08-Feb-2021,10245070,68286,72794,375101,9236
09-Feb-2021,10238898,69071,73668,379509,9341
10-Feb-2021,10232659,69861,74550,383970,9448
11-Feb-2021,10226353,70656,75440,388484,9555
12-Feb-2021,10219979,71456,76337,393052,9664
13-Feb-2021,10213537,72261,77241,397674,9774
14-Feb-2021,10207027,73072,78153,402350,9886
15-Feb-2021,10200448,73887,79072,407082,9998
16-Feb-2021,10193800,74706,79999,411869,10112
17-Feb-2021,10187084,75531,80932,416713,10228
18-Feb-2021,10180297,76360,81873,421612,10345
19-Feb-2021,10173442,77193,82821,426569,10463
20-Feb-2021,10166516,78031,83775,431583,10582
21-Feb-2021,10159520,78873,84737,436654,10703
22-Feb-2021,10152453,79719,85705,441784,10825
23-Feb-2021,10145316,80570,86680,446972,10949
24-Feb-2021,10138109,81424,87662,452219,11074
25-Feb-2021,10130830,82282,88650,457525,11200
26-Feb-2021,10123480,83144,89644,462891,11328
27-Feb-2021,10116059,84009,90645,468317,11458
28-Feb-2021,10108566,84878,91651,473803,11588
01-Mar-2021,10101002,85750,92664,479350,11721
