datetime,S,I,Q,R,D
13-Oct-2020,10688601,2699,8069,71281,2002
14-Oct-2020,10688363,2671,7664,71939,2015
15-Oct-2020,10688127,2644,7290,72564,2027
16-Oct-2020,10687894,2617,6944,73159,2039
17-Oct-2020,10687663,2590,6623,73726,2050
18-Oct-2020,10687435,2563,6327,74268,2060
19-Oct-2020,10687209,2537,6052,74785,2070
20-Oct-2020,10686985,2511,5796,75280,2080
21-Oct-2020,10686764,2485,5560,75755,2089
22-Oct-2020,10686544,2459,5340,76211,2098
23-Oct-2020,10686328,2434,5136,76649,2106
24-Oct-2020,10686113,2409,4946,77070,2115
25-Oct-2020,10685900,2384,4769,77476,2122
26-Oct-2020,10685690,2360,4604,77868,2130
27-Oct-2020,10685482,2335,4451,78247,2137
28-Oct-2020,10685276,2311,4308,78613,2145
29-Oct-2020,10685072,2287,4174,78968,2151
30-Oct-2020,10684870,2264,4049,79311,2158
31-Oct-2020,10684671,2241,3931,79645,2165
01-Nov-2020,10684473,2217,3822,79969,2171
02-Nov-2020,10684278,2195,3719,80285,2177
03-Nov-2020,10684084,2172,3622,80591,2183
04-Nov-2020,10683893,2150,3531,80891,2189
05-Nov-2020,10683703,2127,3445,81182,2194
06-Nov-2020,10683515,2105,3365,81467,2200
07-Nov-2020,10683330,2084,3288,81745,2205
08-Nov-2020,10683146,2062,3216,82017,2211
09-Nov-2020,10682964,2041,3148,82283,2216
10-Nov-2020,10682784,2020,3084,82544,2221
11-Nov-2020,10682606,1999,3022,82799,2226
12-Nov-2020,10682430,1978,2964,83049,2231
13-Nov-2020,10682256,1958,2909,83295,2235
14-Nov-2020,10682083,1938,2856,83536,2240
15-Nov-2020,10681912,1918,2805,83773,2245
16-Nov-2020,10681743,1898,2757,84005,2249
17-Nov-2020,10681576,1878,2711,84234,2254
18-Nov-2020,10681410,1859,2667,84459,2258
19-Nov-2020,10681246,1840,2624,84680,2262
20-Nov-2020,10681084,1821,2583,84898,2267
21-Nov-2020,10680923,1802,2544,85112,2271
22-Nov-2020,10680765,1783,2506,85323,2275
23-Nov-2020,10680607,1765,2470,85531,2279
24-Nov-2020,10680452,1747,2435,85737,2283
25-Nov-2020,10680298,1729,2401,85939,2287
26-Nov-2020,10680145,1711,2368,86138,2291
27-Nov-2020,10679995,1693,2336,86335,2294
28-Nov-2020,10679845,1675,2305,86529,2298
29-Nov-2020,10679698,1658,2274,86720,2302
30-Nov-2020,10679552,1641,2245,86909,2306
01-Dec-2020,10679407,1624,2216,87096,2309
02-Dec-2020,10679264,1607,2189,87280,2313
03-Dec-2020,10679122,1591,2161,87462,2316
04-Dec-2020,10678982,1574,2135,87642,2320
05-Dec-2020,10678843,1558,2109,87819,2323
06-Dec-2020,10678706,1542,2084,87994,2327
07-Dec-2020,10678570,1526,2059,88168,2330
08-Dec-2020,10678436,1510,2035,88339,2333
09-Dec-2020,10678303,1494,2011,88508,2337
10-Dec-2020,10678171,1479,1988,88675,2340
11-Dec-2020,10678040,1463,1965,88840,2343
12-Dec-2020,10677911,1448,1942,89004,2346
13-Dec-2020,10677784,1433,1920,89165,2349
14-Dec-2020,10677658,1418,1899,89325,2352
15-Dec-2020,10677533,1404,1878,89483,2356
16-Dec-2020,10677409,1389,1857,89639,2359
17-Dec-2020,10677286,1375,1836,89794,2362
18-Dec-2020,10677165,1361,1816,89946,2365
19-Dec-2020,10677045,1346,1796,90097,2367
20-Dec-2020,10676927,1332,1776,90247,2370
21-Dec-2020,10676809,1319,1757,90394,2373
22-Dec-2020,10676693,1305,1738,90541,2376
23-Dec-2020,10676578,1291,1719,90685,2379
24-Dec-2020,10676464,1278,1700,90828,2382
25-Dec-2020,10676352,1265,1682,90970,2384
26-Dec-2020,10676240,1252,1664,91109,2387
27-Dec-2020,10676130,1239,1646,91248,2390
28-Dec-2020,10676021,1226,1629,91385,2392
29-Dec-2020,10675913,1213,1611,91520,2395
30-Dec-2020,10675806,1201,1594,91654,2398
31-Dec-2020,10675700,1188,1577,91787,2400
01-Jan-2021,10675595,1176,1560,91918,2403
02-Jan-2021,10675492,1164,1544,92048,2405
03-Jan-2021,10675389,1151,1528,92176,2408
04-Jan-2021,10675288,1140,1511,92303,2410
05-Jan-2021,10675187,1128,1495,92429,2413
06-Jan-2021,10675088,1116,1480,92554,2415
07-Jan-2021,10674990,1104,1464,92677,2418
08-Jan-2021,10674892,1093,1449,92798,2420
09-Jan-2021,10674796,1082,1433,92919,2422
10-Jan-2021,10674701,1070,1418,93038,2425
11-Jan-2021,10674607,1059,1404,93156,2427
12-Jan-2021,10674513,1048,1389,93273,2429
13-Jan-2021,10674421,1037,1374,93389,2431
14-Jan-2021,10674329,1027,1360,93503,2434
15-Jan-2021,10674239,1016,1346,93616,2436
16-Jan-2021,10674150,1005,1332,93728,2438
17-Jan-2021,10674061,995,1318,93839,2440
18-Jan-2021,10673973,985,1304,93948,2442
19-Jan-2021,10673887,974,1290,94057,2444
20-Jan-2021,10673801,964,1277,94164,2446
21-Jan-2021,10673716,954,1263,94270,2449
22-Jan-2021,10673632,944,1250,94376,2451
23-Jan-2021,10673549,934,1237,94480,2453
24-Jan-2021,10673466,925,1224,94583,2455
25-Jan-2021,10673385,915,1212,94684,2457
26-Jan-2021,10673304,906,1199,94785,2459
27-Jan-2021,10673224,896,1186,94885,2460
28-Jan-2021,10673145,887,1174,94984,2462
29-Jan-2021,10673067,878,1162,95081,2464
30-Jan-2021,10672990,868,1150,95178,2466
31-Jan-2021,10672914,859,1138,95274,2468
01-Feb-2021,10672838,851,1126,95368,2470
02-Feb-2021,10672763,842,1114,95462,2472
03-Feb-2021,10672689,833,1103,95555,2473
04-Feb-2021,10672615,824,1091,95646,2475
05-Feb-2021,10672543,816,1080,95737,2477
06-Feb-2021,10672471,807,1069,95827,2479
07-Feb-2021,10672400,799,1057,95916,2480
08-Feb-2021,10672330,790,1046,96004,2482
09-Feb-2021,10672260,782,1035,96091,2484
10-Feb-2021,10672191,774,1025,96177,2486
11-Feb-2021,10672123,766,1014,96262,2487
12-Feb-2021,10672055,758,1003,96347,2489
13-Feb-2021,10671989,750,993,96430,2490
14-Feb-2021,10671922,742,983,96513,2492
15-Feb-2021,10671857,735,972,96595,2494
16-Feb-2021,10671792,727,962,96676,2495
17-Feb-2021,10671728,719,952,96756,2497
18-Feb-2021,10671665,712,942,96835,2498
19-Feb-2021,10671602,705,933,96913,2500
20-Feb-2021,10671540,697,923,96991,2501
