datetime,S,NI,NR,P,R,ND,D
14-Sep-2020,10452448,28477,241254,12161,42325,4144,1440
15-Sep-2020,10452448,25754,243936,11248,43217,4186,1461
16-Sep-2020,10452448,23291,246361,10403,44043,4223,1480
17-Sep-2020,10452448,21064,248554,9622,44806,4257,1498
18-Sep-2020,10452448,19050,250537,8899,45512,4288,1514
19-Sep-2020,10452448,17228,252331,8231,46165,4315,1530
20-Sep-2020,10452448,15581,253954,7613,46769,4341,1544
21-Sep-2020,10452448,14091,255421,7041,47328,4363,1557
22-Sep-2020,10452448,12744,256748,6513,47845,4384,1569
23-Sep-2020,10452448,11525,257948,6024,48323,4402,1580
24-Sep-2020,10452448,10423,259033,5571,48765,4419,1590
25-Sep-2020,10452448,9426,260014,5153,49173,4434,1600
26-Sep-2020,10452448,8525,260902,4766,49552,4448,1608
27-Sep-2020,10452448,7710,261705,4408,49901,4461,1617
28-Sep-2020,10452448,6973,262431,4077,50225,4472,1624
