datetime,S,NI,NR,P,R,ND,D
28-Aug-2020,10525370,14615,201660,6955,29169,3531,1154
29-Aug-2020,10521393,16208,203187,7234,29710,3555,1167
30-Aug-2020,10517385,17647,204863,7525,30273,3581,1180
31-Aug-2020,10513344,18948,206675,7826,30858,3609,1193
01-Sep-2020,10509268,20123,208610,8140,31467,3639,1208
02-Sep-2020,10505156,21184,210655,8465,32101,3670,1222
03-Sep-2020,10501007,22143,212800,8803,32759,3703,1238
04-Sep-2020,10496819,23009,215035,9155,33444,3738,1254
05-Sep-2020,10492591,23791,217352,9519,34156,3774,1270
06-Sep-2020,10488321,24497,219742,9898,34897,3811,1288
07-Sep-2020,10484007,25134,222199,10292,35667,3849,1306
08-Sep-2020,10479649,25710,224716,10700,36467,3888,1324
09-Sep-2020,10475243,26228,227287,11124,37300,3928,1344
10-Sep-2020,10470789,26696,229906,11565,38165,3968,1364
11-Sep-2020,10466285,27118,232570,12022,39064,4009,1385
12-Sep-2020,10461728,27499,235273,12497,40000,4051,1407
13-Sep-2020,10457116,27841,238012,12990,40972,4094,1429
14-Sep-2020,10452448,28150,240783,13501,41982,4136,1453
15-Sep-2020,10447722,28428,243583,14032,43032,4180,1477
16-Sep-2020,10442934,28677,246409,14583,44123,4224,1503
17-Sep-2020,10438083,28902,249259,15155,45257,4268,1529
18-Sep-2020,10433166,29104,252130,15749,46436,4312,1557
19-Sep-2020,10428182,29285,255020,16365,47661,4357,1585
20-Sep-2020,10423127,29447,257926,17004,48933,4402,1615
21-Sep-2020,10417998,29592,260848,17667,50255,4447,1646
22-Sep-2020,10412794,29722,263784,18354,51629,4492,1678
23-Sep-2020,10407511,29838,266731,19068,53056,4538,1711
24-Sep-2020,10402146,29942,269690,19807,54539,4584,1746
25-Sep-2020,10396697,30034,272658,20575,56079,4630,1781
26-Sep-2020,10391160,30115,275635,21371,57679,4676,1819
27-Sep-2020,10385531,30188,278619,22196,59340,4722,1857
28-Sep-2020,10379809,30251,281610,23051,61066,4768,1898
29-Sep-2020,10373989,30307,284607,23938,62858,4815,1939
30-Sep-2020,10368067,30356,287610,24858,64719,4861,1983
01-Oct-2020,10362041,30399,290616,25811,66651,4908,2028
02-Oct-2020,10355906,30436,293627,26799,68658,4954,2075
03-Oct-2020,10349658,30467,296641,27822,70741,5001,2123
04-Oct-2020,10343294,30494,299658,28883,72903,5048,2174
05-Oct-2020,10336809,30516,302677,29982,75148,5094,2226
06-Oct-2020,10330200,30535,305699,31121,77479,5141,2280
07-Oct-2020,10323461,30549,308721,32300,79897,5188,2337
08-Oct-2020,10316588,30561,311746,33522,82408,5235,2395
09-Oct-2020,10309576,30569,314771,34787,85013,5282,2456
10-Oct-2020,10302422,30574,317797,36097,87716,5328,2519
11-Oct-2020,10295119,30577,320823,37453,90521,5375,2584
12-Oct-2020,10287663,30578,323850,38858,93431,5422,2652
13-Oct-2020,10280048,30576,326876,40311,96451,5469,2723
14-Oct-2020,10272270,30572,329902,41815,99583,5516,2796
15-Oct-2020,10264322,30567,332928,43371,102832,5563,2872
16-Oct-2020,10256199,30560,335953,44982,106201,5609,2950
17-Oct-2020,10247895,30551,338977,46648,109696,5656,3032
18-Oct-2020,10239404,30540,342000,48371,113320,5703,3116
19-Oct-2020,10230720,30528,345023,50152,117077,5750,3204
20-Oct-2020,10221837,30515,348044,51995,120973,5797,3294
21-Oct-2020,10212748,30500,351063,53899,125011,5843,3389
22-Oct-2020,10203446,30485,354081,55868,129198,5890,3486
23-Oct-2020,10193925,30468,357098,57903,133537,5937,3587
24-Oct-2020,10184178,30449,360112,60005,138033,5983,3692
25-Oct-2020,10174198,30430,363125,62176,142693,6030,3801
26-Oct-2020,10163977,30410,366136,64419,147521,6077,3913
