datetime,S,I,Q,R,D
29-Aug-2020,10720902,9815,7226,29768,1172
30-Aug-2020,10720902,8890,7522,30386,1184
31-Aug-2020,10720902,8052,7710,31023,1196
01-Sep-2020,10720902,7293,7807,31673,1209
02-Sep-2020,10720902,6606,7827,32327,1222
03-Sep-2020,10720902,5983,7784,32980,1234
04-Sep-2020,10720902,5419,7688,33627,1247
05-Sep-2020,10720902,4908,7549,34265,1259
06-Sep-2020,10720902,4446,7375,34889,1271
07-Sep-2020,10720902,4027,7174,35498,1283
08-Sep-2020,10720902,3647,6951,36088,1295
09-Sep-2020,10720902,3303,6712,36660,1306
10-Sep-2020,10720902,2992,6462,37211,1317
11-Sep-2020,10720902,2710,6204,37741,1327
12-Sep-2020,10720902,2454,5942,38249,1337
13-Sep-2020,10720902,2223,5678,38734,1346
