datetime,S,I,Q,R,D
12-Sep-2020,10720902,2454,5942,38249,1337
13-Sep-2020,10720684,2430,5688,38735,1346
14-Sep-2020,10720469,2405,5453,39200,1355
15-Sep-2020,10720256,2381,5234,39647,1364
16-Sep-2020,10720046,2358,5031,40076,1372
17-Sep-2020,10719837,2334,4843,40489,1380
18-Sep-2020,10719631,2311,4667,40887,1388
19-Sep-2020,10719426,2287,4504,41270,1395
20-Sep-2020,10719224,2265,4352,41640,1403
21-Sep-2020,10719023,2242,4210,41998,1409
22-Sep-2020,10718825,2219,4078,42345,1416
23-Sep-2020,10718629,2197,3954,42681,1423
24-Sep-2020,10718434,2175,3838,43006,1429
25-Sep-2020,10718242,2153,3730,43323,1435
26-Sep-2020,10718051,2132,3628,43631,1441
27-Sep-2020,10717863,2110,3533,43930,1447
28-Sep-2020,10717676,2089,3444,44222,1453
29-Sep-2020,10717491,2068,3359,44506,1458
30-Sep-2020,10717308,2047,3280,44784,1464
01-Oct-2020,10717127,2027,3205,45055,1469
02-Oct-2020,10716948,2006,3135,45320,1474
03-Oct-2020,10716770,1986,3068,45579,1479
04-Oct-2020,10716594,1966,3005,45833,1484
05-Oct-2020,10716420,1947,2945,46082,1489
06-Oct-2020,10716248,1927,2888,46326,1493
07-Oct-2020,10716078,1908,2834,46565,1498
08-Oct-2020,10715909,1889,2783,46800,1503
09-Oct-2020,10715742,1870,2733,47031,1507
10-Oct-2020,10715577,1851,2687,47257,1512
11-Oct-2020,10715413,1832,2642,47480,1516
12-Oct-2020,10715251,1814,2599,47699,1520
13-Oct-2020,10715090,1796,2558,47915,1524
14-Oct-2020,10714932,1777,2518,48127,1528
15-Oct-2020,10714774,1760,2480,48336,1532
16-Oct-2020,10714619,1742,2444,48542,1536
17-Oct-2020,10714465,1724,2408,48745,1540
18-Oct-2020,10714312,1707,2374,48945,1544
19-Oct-2020,10714161,1690,2342,49142,1548
20-Oct-2020,10714012,1673,2310,49337,1552
21-Oct-2020,10713864,1656,2279,49529,1556
22-Oct-2020,10713717,1639,2249,49718,1559
