datetime,Sq,S,E1,E2,H,R,D,V
01-Mar-2020,0,10770464,12,2,9,0,0,21080
02-Mar-2020,1050841,9719617,16,3,9,0,0,267
03-Mar-2020,1974055,8796397,20,5,9,0,0,321
04-Mar-2020,2785142,7985302,26,7,10,1,0,386
05-Mar-2020,3497719,7272715,32,10,10,1,0,462
06-Mar-2020,4123752,6646671,39,13,10,1,0,548
07-Mar-2020,4673751,6096661,47,16,11,2,0,645
08-Mar-2020,5156949,5613449,55,20,12,2,0,753
09-Mar-2020,5581461,5188922,65,23,13,3,0,870
10-Mar-2020,5954414,4815954,74,27,14,3,0,997
11-Mar-2020,6282069,4488282,85,31,16,4,0,1133
12-Mar-2020,6569928,4200405,96,35,17,5,0,1278
13-Mar-2020,6822824,3947490,108,39,19,6,0,1431
14-Mar-2020,7045003,3725291,121,44,21,7,0,1593
15-Mar-2020,7240197,3530077,134,48,23,8,0,1762
16-Mar-2020,7411681,3358570,147,53,26,10,1,1940
17-Mar-2020,7562336,3207892,161,57,28,11,1,2125
18-Mar-2020,7694692,3075513,176,62,31,13,1,2319
19-Mar-2020,7810970,2959210,191,66,34,15,1,2521
20-Mar-2020,7913124,2857030,207,71,38,16,1,2731
21-Mar-2020,8002868,2767259,223,76,41,19,1,2950
22-Mar-2020,8081710,2688389,240,81,45,21,1,3178
23-Mar-2020,8150973,2619096,258,86,49,23,1,3416
24-Mar-2020,8211822,2558217,277,91,53,26,1,3665
25-Mar-2020,8265277,2504730,296,96,58,28,2,3923
26-Mar-2020,8312237,2457737,316,101,62,31,2,4194
27-Mar-2020,8353490,2416449,337,107,67,34,2,4476
28-Mar-2020,8389729,2380173,359,112,73,38,2,4771
29-Mar-2020,8421564,2348301,382,118,78,41,2,5079
30-Mar-2020,8449528,2320297,406,124,84,45,2,5402
31-Mar-2020,8474092,2295691,432,131,90,49,3,5739
01-Apr-2020,8495668,2274071,458,137,96,53,3,6093
02-Apr-2020,8514620,2255074,486,144,103,57,3,6463
03-Apr-2020,8531265,2238381,515,151,110,62,3,6852
04-Apr-2020,8545884,2223711,545,159,118,67,4,7259
05-Apr-2020,8558722,2210820,577,167,125,72,4,7686
06-Apr-2020,8569996,2199491,610,175,133,77,4,8134
07-Apr-2020,8579895,2189533,646,184,142,83,5,8605
08-Apr-2020,8588586,2180781,683,193,151,89,5,9100
09-Apr-2020,8596215,2173087,721,202,160,96,5,9619
10-Apr-2020,8602911,2166323,762,212,170,102,6,10165
11-Apr-2020,8608788,2160376,805,223,180,110,6,10739
12-Apr-2020,8613943,2155145,851,234,191,117,6,11343
13-Apr-2020,8618465,2150545,898,246,202,125,7,11978
14-Apr-2020,8622429,2146497,948,258,214,134,7,12645
15-Apr-2020,8625904,2142935,1001,271,226,142,8,13347
16-Apr-2020,8628948,2139799,1056,285,239,152,8,14086
17-Apr-2020,8631613,2137037,1115,299,253,162,9,14864
18-Apr-2020,8633945,2134603,1176,314,267,172,9,15682
19-Apr-2020,8635983,2132457,1241,330,282,183,10,16543
20-Apr-2020,8637763,2130564,1309,347,298,195,11,17450
21-Apr-2020,8639315,2128893,1381,365,315,207,11,18405
22-Apr-2020,8640667,2127415,1457,384,333,220,12,19410
23-Apr-2020,8641842,2126108,1536,404,351,233,13,20468
24-Apr-2020,8642862,2124949,1620,424,370,247,13,21583
25-Apr-2020,8643743,2123921,1709,446,391,262,14,22757
26-Apr-2020,8644503,2123007,1802,470,412,278,15,23993
27-Apr-2020,8645155,2122193,1900,494,435,295,16,25296
28-Apr-2020,8645711,2121465,2004,520,458,312,17,26667
29-Apr-2020,8646183,2120812,2112,547,483,331,18,28112
30-Apr-2020,8646580,2120226,2227,576,509,351,19,29634
01-May-2020,8646909,2119696,2348,606,537,371,20,31238
02-May-2020,8647178,2119216,2476,638,566,393,21,32927
03-May-2020,8647393,2118778,2610,671,596,416,23,34706
04-May-2020,8647560,2118377,2752,706,629,440,24,36581
05-May-2020,8647683,2118007,2901,744,662,465,25,38556
06-May-2020,8647766,2117663,3058,783,698,492,27,40638
07-May-2020,8647813,2117342,3223,824,736,520,28,42830
08-May-2020,8647827,2117039,3398,868,775,550,30,45140
09-May-2020,8647811,2116751,3582,914,817,581,31,47575
10-May-2020,8647765,2116476,3775,963,860,614,33,50139
11-May-2020,8647694,2116210,3980,1014,907,649,35,52842
12-May-2020,8647597,2115950,4195,1068,955,685,37,55689
13-May-2020,8647476,2115696,4421,1125,1006,724,39,58689
14-May-2020,8647332,2115444,4660,1185,1060,765,41,61851
15-May-2020,8647166,2115194,4912,1248,1117,808,44,65182
16-May-2020,8646978,2114942,5177,1314,1177,853,46,68691
17-May-2020,8646769,2114688,5457,1384,1240,900,49,72389
18-May-2020,8646539,2114431,5751,1458,1306,950,51,76286
19-May-2020,8646289,2114168,6061,1536,1376,1003,54,80392
20-May-2020,8646017,2113898,6388,1618,1449,1059,57,84718
21-May-2020,8645724,2113621,6733,1705,1527,1118,60,89276
22-May-2020,8645409,2113334,7096,1796,1608,1180,64,94079
23-May-2020,8645072,2113038,7478,1892,1695,1245,67,99139
24-May-2020,8644713,2112730,7881,1993,1785,1313,71,104471
25-May-2020,8644331,2112409,8306,2100,1881,1386,75,110089
26-May-2020,8643924,2112075,8753,2212,1981,1462,79,116007
27-May-2020,8643493,2111726,9225,2331,2087,1542,83,122243
28-May-2020,8643036,2111361,9721,2455,2199,1627,88,128813
29-May-2020,8642552,2110979,10245,2587,2316,1716,92,135735
30-May-2020,8642040,2110578,10796,2725,2440,1810,97,143027
31-May-2020,8641498,2110158,11377,2871,2571,1909,103,150710
01-Jun-2020,8640927,2109717,11989,3025,2708,2014,108,158803
02-Jun-2020,8640323,2109254,12633,3187,2853,2124,114,167330
03-Jun-2020,8639685,2108767,13312,3357,3006,2240,120,176312
04-Jun-2020,8639012,2108256,14027,3537,3167,2362,127,185773
05-Jun-2020,8638302,2107718,14781,3726,3336,2490,134,195740
06-Jun-2020,8637554,2107152,15575,3925,3515,2626,141,206239
07-Jun-2020,8636765,2106557,16410,4135,3703,2769,149,217298
08-Jun-2020,8635932,2105932,17291,4356,3901,2919,157,228945
09-Jun-2020,8635055,2105273,18218,4588,4109,3078,165,241213
10-Jun-2020,8634131,2104580,19195,4833,4329,3245,174,254134
11-Jun-2020,8633157,2103851,20224,5091,4561,3421,183,267742
12-Jun-2020,8632130,2103084,21307,5362,4804,3606,193,282073
13-Jun-2020,8631048,2102276,22448,5648,5061,3801,204,297165
14-Jun-2020,8629909,2101427,23649,5949,5332,4007,215,313057
15-Jun-2020,8628708,2100532,24914,6266,5617,4224,226,329791
16-Jun-2020,8627444,2099591,26245,6600,5917,4452,238,347411
17-Jun-2020,8626112,2098600,27647,6950,6233,4693,251,365963
18-Jun-2020,8624709,2097558,29124,7320,6566,4946,265,385494
19-Jun-2020,8623232,2096461,30677,7709,6916,5213,279,406056
20-Jun-2020,8621676,2095307,32313,8118,7285,5494,294,427702
21-Jun-2020,8620037,2094093,34035,8548,7674,5790,310,450486
22-Jun-2020,8618312,2092816,35847,9001,8083,6102,326,474467
23-Jun-2020,8616496,2091472,37754,9477,8514,6430,344,499706
24-Jun-2020,8614584,2090058,39761,9978,8968,6776,362,526268
25-Jun-2020,8612571,2088572,41873,10504,9446,7140,382,554220
26-Jun-2020,8610452,2087008,44095,11058,9948,7523,402,583630
27-Jun-2020,8608221,2085364,46433,11641,10478,7927,424,614573
28-Jun-2020,8605874,2083635,48892,12253,11035,8352,446,647126
29-Jun-2020,8603403,2081818,51478,12897,11621,8800,470,681369
30-Jun-2020,8600803,2079907,54199,13573,12238,9271,495,717386
01-Jul-2020,8598067,2077899,57059,14284,12888,9767,522,755264
02-Jul-2020,8595189,2075789,60068,15031,13571,10289,550,795095
03-Jul-2020,8592161,2073572,63230,15816,14290,10839,579,836976
04-Jul-2020,8588975,2071243,66555,16640,15047,11417,610,881005
05-Jul-2020,8585624,2068796,70049,17506,15843,12026,642,927288
06-Jul-2020,8582100,2066227,73722,18415,16680,12667,676,975930
07-Jul-2020,8578394,2063530,77581,19369,17560,13341,712,1027048
08-Jul-2020,8574498,2060698,81635,20370,18486,14051,750,1080759
09-Jul-2020,8570401,2057725,85893,21420,19460,14797,790,1137181
10-Jul-2020,8566095,2054606,90366,22522,20484,15583,832,1196445
11-Jul-2020,8561568,2051334,95062,23678,21560,16409,876,1258682
12-Jul-2020,8556811,2047902,99992,24890,22691,17278,922,1324028
13-Jul-2020,8551813,2044304,105167,26160,23880,18192,971,1392628
14-Jul-2020,8546562,2040532,110598,27491,25129,19153,1022,1464625
15-Jul-2020,8541046,2036578,116295,28886,26442,20163,1076,1540172
16-Jul-2020,8535254,2032436,122272,30346,27821,21225,1133,1619431
17-Jul-2020,8529171,2028098,128539,31875,29270,22342,1193,1702558
18-Jul-2020,8522785,2023555,135110,33475,30791,23516,1255,1789723
19-Jul-2020,8516083,2018800,141997,35149,32387,24749,1321,1881099
20-Jul-2020,8509049,2013825,149214,36900,34064,26045,1390,1976862
21-Jul-2020,8501670,2008621,156773,38731,35823,27407,1463,2077198
22-Jul-2020,8493929,2003180,164689,40643,37669,28837,1539,2182290
23-Jul-2020,8485812,1997494,172977,42641,39606,30339,1620,2292331
24-Jul-2020,8477301,1991552,181650,44727,41637,31916,1704,2407518
25-Jul-2020,8468381,1985348,190723,46904,43767,33572,1792,2528048
26-Jul-2020,8459034,1978872,200212,49174,46000,35310,1885,2654133
27-Jul-2020,8449242,1972116,210131,51541,48340,37134,1983,2785970
28-Jul-2020,8438988,1965070,220497,54007,50792,39048,2085,2923774
29-Jul-2020,8428253,1957726,231325,56576,53360,41055,2192,3067759
30-Jul-2020,8417018,1950076,242630,59249,56049,43161,2305,3218139
31-Jul-2020,8405263,1942111,254428,62030,58864,45368,2423,3375131
01-Aug-2020,8392969,1933823,266736,64920,61809,47682,2546,3538954
02-Aug-2020,8380116,1925204,279569,67923,64891,50108,2676,3709819
03-Aug-2020,8366684,1916246,292944,71040,68113,52648,2812,3887956
04-Aug-2020,8352652,1906943,306874,74273,71481,55310,2955,4073576
05-Aug-2020,8337998,1897286,321377,77625,75001,58096,3104,4266885
06-Aug-2020,8322703,1887270,336466,81097,78677,61013,3260,4468104
07-Aug-2020,8306745,1876889,352158,84691,82516,64066,3424,4677437
08-Aug-2020,8290103,1866136,368466,88407,86522,67259,3595,4895086
09-Aug-2020,8272756,1855008,385404,92247,90701,70599,3774,5121259
