datetime,S,I,Q,R,D
29-Sep-2020,10687272,12042,12726,58865,1718
30-Sep-2020,10687272,10959,12711,59946,1735
01-Oct-2020,10687272,9973,12603,61022,1752
02-Oct-2020,10687272,9076,12420,62086,1769
03-Oct-2020,10687272,8260,12174,63131,1786
04-Oct-2020,10687272,7517,11879,64153,1802
05-Oct-2020,10687272,6841,11544,65148,1818
06-Oct-2020,10687272,6225,11178,66114,1834
07-Oct-2020,10687272,5665,10790,67047,1848
08-Oct-2020,10687272,5156,10386,67947,1863
09-Oct-2020,10687272,4692,9971,68812,1877
10-Oct-2020,10687272,4270,9550,69641,1890
11-Oct-2020,10687272,3886,9128,70434,1902
12-Oct-2020,10687272,3536,8708,71192,1914
13-Oct-2020,10687272,3218,8292,71914,1926
14-Oct-2020,10687272,2929,7884,72601,1937
