datetime,S,I,Q,R,D
14-Sep-2020,10704137,12590,12161,42325,1440
15-Sep-2020,10702988,12553,12291,43364,1457
16-Sep-2020,10701843,12517,12406,44413,1473
17-Sep-2020,10700702,12480,12509,45472,1490
18-Sep-2020,10699563,12444,12600,46538,1507
19-Sep-2020,10698429,12407,12680,47612,1524
20-Sep-2020,10697298,12371,12750,48693,1541
21-Sep-2020,10696170,12334,12811,49779,1559
22-Sep-2020,10695046,12298,12864,50869,1576
23-Sep-2020,10693925,12261,12909,51964,1594
24-Sep-2020,10692807,12225,12947,53063,1611
25-Sep-2020,10691693,12188,12978,54164,1629
26-Sep-2020,10690583,12152,13004,55268,1646
27-Sep-2020,10689476,12115,13024,56373,1664
28-Sep-2020,10688372,12078,13039,57481,1682
29-Sep-2020,10687272,12042,13050,58589,1699
30-Sep-2020,10686176,12005,13057,59698,1717
01-Oct-2020,10685082,11969,13059,60808,1735
02-Oct-2020,10683993,11932,13058,61917,1752
03-Oct-2020,10682906,11895,13054,63026,1770
04-Oct-2020,10681823,11859,13047,64135,1788
05-Oct-2020,10680744,11822,13037,65243,1805
06-Oct-2020,10679668,11786,13025,66351,1823
07-Oct-2020,10678595,11749,13011,67457,1841
08-Oct-2020,10677526,11713,12994,68561,1858
09-Oct-2020,10676461,11676,12975,69665,1876
10-Oct-2020,10675398,11639,12955,70766,1893
11-Oct-2020,10674340,11603,12933,71866,1911
12-Oct-2020,10673284,11566,12910,72964,1928
13-Oct-2020,10672232,11530,12885,74060,1946
14-Oct-2020,10671184,11493,12859,75153,1963
15-Oct-2020,10670139,11457,12832,76245,1981
16-Oct-2020,10669097,11420,12803,77334,1998
17-Oct-2020,10668059,11384,12774,78420,2015
18-Oct-2020,10667024,11347,12744,79504,2033
19-Oct-2020,10665993,11311,12713,80586,2050
20-Oct-2020,10664965,11275,12682,81665,2067
21-Oct-2020,10663940,11238,12649,82741,2084
22-Oct-2020,10662919,11202,12616,83814,2101
23-Oct-2020,10661901,11165,12583,84884,2118
24-Oct-2020,10660887,11129,12549,85952,2135
25-Oct-2020,10659876,11093,12514,87017,2152
26-Oct-2020,10658868,11057,12480,88079,2169
27-Oct-2020,10657864,11020,12444,89137,2186
28-Oct-2020,10656864,10984,12409,90193,2203
29-Oct-2020,10655866,10948,12373,91246,2220
30-Oct-2020,10654872,10912,12336,92296,2236
31-Oct-2020,10653882,10875,12300,93342,2253
01-Nov-2020,10652894,10839,12263,94386,2270
02-Nov-2020,10651911,10803,12226,95426,2286
03-Nov-2020,10650930,10767,12189,96463,2303
04-Nov-2020,10649953,10731,12152,97497,2319
05-Nov-2020,10648979,10695,12114,98528,2336
06-Nov-2020,10648009,10659,12076,99556,2352
07-Nov-2020,10647042,10623,12039,100580,2368
08-Nov-2020,10646078,10587,12001,101601,2385
09-Nov-2020,10645118,10551,11963,102619,2401
10-Nov-2020,10644161,10516,11925,103634,2417
11-Nov-2020,10643207,10480,11886,104646,2433
12-Nov-2020,10642257,10444,11848,105654,2449
13-Nov-2020,10641310,10408,11810,106659,2465
