datetime,S,I,r,D
19-Sep-2020,10725041,3695,40310,1441
20-Sep-2020,10724586,3876,40577,1448
21-Sep-2020,10724109,4066,40857,1455
22-Sep-2020,10723608,4266,41151,1463
23-Sep-2020,10723083,4474,41459,1471
24-Sep-2020,10722532,4694,41782,1479
25-Sep-2020,10721954,4924,42121,1488
26-Sep-2020,10721348,5165,42477,1497
27-Sep-2020,10720712,5417,42850,1507
28-Sep-2020,10720046,5683,43241,1517
29-Sep-2020,10719346,5961,43652,1528
30-Sep-2020,10718613,6253,44083,1539
01-Oct-2020,10717843,6558,44534,1551
02-Oct-2020,10717036,6879,45008,1563
03-Oct-2020,10716190,7216,45505,1576
04-Oct-2020,10715302,7569,46027,1590
05-Oct-2020,10714371,7939,46573,1604
06-Oct-2020,10713395,8327,47147,1619
07-Oct-2020,10712370,8734,47749,1634
08-Oct-2020,10711296,9160,48380,1651
09-Oct-2020,10710170,9608,49041,1668
10-Oct-2020,10708989,10077,49736,1686
11-Oct-2020,10707750,10569,50464,1705
12-Oct-2020,10706451,11084,51227,1725
13-Oct-2020,10705089,11625,52028,1745
14-Oct-2020,10703660,12192,52868,1767
15-Oct-2020,10702162,12786,53749,1790
16-Oct-2020,10700591,13409,54672,1814
17-Oct-2020,10698944,14063,55641,1839
18-Oct-2020,10697217,14747,56657,1866
19-Oct-2020,10695406,15465,57722,1893
20-Oct-2020,10693508,16218,58840,1922
21-Oct-2020,10691517,17006,60011,1953
22-Oct-2020,10689430,17833,61240,1985
23-Oct-2020,10687242,18699,62528,2018
24-Oct-2020,10684948,19607,63879,2053
25-Oct-2020,10682544,20558,65295,2090
26-Oct-2020,10680023,21555,66780,2129
27-Oct-2020,10677381,22600,68337,2169
28-Oct-2020,10674612,23695,69969,2211
29-Oct-2020,10671709,24841,71681,2256
30-Oct-2020,10668666,26043,73475,2302
31-Oct-2020,10665478,27301,75356,2351
01-Nov-2020,10662136,28620,77328,2403
02-Nov-2020,10658635,30001,79395,2456
03-Nov-2020,10654965,31447,81562,2512
04-Nov-2020,10651121,32961,83833,2571
05-Nov-2020,10647092,34547,86214,2633
06-Nov-2020,10642872,36208,88709,2698
07-Nov-2020,10638450,37947,91324,2766
08-Nov-2020,10633819,39767,94064,2837
09-Nov-2020,10628967,41672,96936,2912
10-Nov-2020,10623886,43666,99945,2990
11-Nov-2020,10618564,45753,103099,3072
12-Nov-2020,10612991,47936,106402,3158
13-Nov-2020,10607155,50221,109864,3247
14-Nov-2020,10601045,52611,113490,3342
15-Nov-2020,10594648,55111,117288,3440
16-Nov-2020,10587951,57725,121267,3544
17-Nov-2020,10580941,60459,125435,3652
18-Nov-2020,10573605,63317,129800,3765
19-Nov-2020,10565928,66305,134370,3884
20-Nov-2020,10557895,69427,139157,4008
21-Nov-2020,10549490,72690,144168,4138
22-Nov-2020,10540699,76099,149415,4275
23-Nov-2020,10531503,79659,154908,4417
24-Nov-2020,10521886,83378,160657,4567
25-Nov-2020,10511830,87260,166674,4723
26-Nov-2020,10501316,91313,172971,4886
27-Nov-2020,10490326,95543,179560,5058
28-Nov-2020,10478841,99955,186454,5237
29-Nov-2020,10466839,104558,193666,5424
30-Nov-2020,10454300,109358,201210,5620
01-Dec-2020,10441202,114361,209099,5825
02-Dec-2020,10427524,119576,217348,6039
