datetime,S,I,r,D
28-Aug-2020,10732018,6955,29169,1154
29-Aug-2020,10731161,7296,29672,1167
30-Aug-2020,10730262,7654,30199,1181
31-Aug-2020,10729319,8030,30752,1195
01-Sep-2020,10728330,8424,31332,1210
02-Sep-2020,10727292,8837,31941,1226
03-Sep-2020,10726204,9270,32579,1243
04-Sep-2020,10725062,9725,33249,1260
05-Sep-2020,10723865,10201,33952,1278
06-Sep-2020,10722609,10701,34689,1297
07-Sep-2020,10721292,11225,35462,1317
08-Sep-2020,10719910,11775,36273,1338
09-Sep-2020,10718461,12351,37124,1361
10-Sep-2020,10716941,12955,38016,1384
11-Sep-2020,10715347,13589,38952,1408
12-Sep-2020,10713676,14253,39934,1434
13-Sep-2020,10711923,14949,40964,1460
14-Sep-2020,10710084,15680,42044,1488
15-Sep-2020,10708157,16445,43176,1518
16-Sep-2020,10706135,17248,44364,1549
17-Sep-2020,10704015,18089,45611,1581
18-Sep-2020,10701793,18971,46917,1615
19-Sep-2020,10699462,19895,48288,1651
20-Sep-2020,10697019,20864,49725,1688
21-Sep-2020,10694457,21879,51232,1727
22-Sep-2020,10691772,22943,52813,1768
23-Sep-2020,10688956,24058,54470,1811
24-Sep-2020,10686005,25227,56208,1856
25-Sep-2020,10682911,26451,58031,1904
26-Sep-2020,10679668,27734,59941,1953
27-Sep-2020,10676268,29078,61945,2005
28-Sep-2020,10672706,30485,64045,2060
29-Sep-2020,10668972,31960,66247,2117
30-Sep-2020,10665059,33505,68555,2177
01-Oct-2020,10660959,35122,70975,2240
02-Oct-2020,10656662,36816,73512,2306
03-Oct-2020,10652160,38590,76171,2375
04-Oct-2020,10647443,40447,78958,2447
05-Oct-2020,10642502,42391,81879,2523
06-Oct-2020,10637326,44427,84941,2602
07-Oct-2020,10631904,46557,88149,2686
08-Oct-2020,10626226,48786,91511,2773
09-Oct-2020,10620279,51119,95034,2865
10-Oct-2020,10614051,53559,98725,2960
11-Oct-2020,10607530,56112,102593,3061
12-Oct-2020,10600703,58782,106644,3166
13-Oct-2020,10593556,61575,110888,3276
14-Oct-2020,10586075,64495,115334,3392
15-Oct-2020,10578246,67547,119990,3513
16-Oct-2020,10570052,70738,124867,3639
17-Oct-2020,10561478,74073,129973,3772
18-Oct-2020,10552508,77557,135320,3911
19-Oct-2020,10543125,81196,140918,4056
20-Oct-2020,10533311,84997,146779,4208
21-Oct-2020,10523048,88967,152913,4368
22-Oct-2020,10512317,93110,159334,4535
23-Oct-2020,10501099,97435,166053,4709
24-Oct-2020,10489373,101947,173084,4892
25-Oct-2020,10477119,106654,180440,5083
26-Oct-2020,10464315,111563,188135,5282
27-Oct-2020,10450940,116680,196184,5492
28-Oct-2020,10436971,122014,204601,5710
29-Oct-2020,10422384,127570,213403,5939
30-Oct-2020,10407156,133358,222604,6178
31-Oct-2020,10391263,139384,232222,6427
01-Nov-2020,10374678,145655,242274,6689
02-Nov-2020,10357378,152180,252776,6961
03-Nov-2020,10339335,158966,263749,7246
04-Nov-2020,10320523,166020,275209,7544
05-Nov-2020,10300915,173350,287177,7855
06-Nov-2020,10280483,180963,299671,8179
07-Nov-2020,10259199,188865,312713,8518
08-Nov-2020,10237036,197065,326323,8871
09-Nov-2020,10213965,205569,340522,9240
10-Nov-2020,10189956,214384,355331,9625
11-Nov-2020,10164982,223515,370774,10026
12-Nov-2020,10139013,232968,386872,10444
13-Nov-2020,10112020,242749,403648,10880
14-Nov-2020,10083974,252863,421126,11333
15-Nov-2020,10054848,263313,439329,11806
16-Nov-2020,10024612,274105,458281,12298
17-Nov-2020,9993239,285240,478007,12811
18-Nov-2020,9960701,296721,498530,13344
19-Nov-2020,9926973,308550,519875,13898
20-Nov-2020,9892028,320727,542067,14474
21-Nov-2020,9855841,333251,565130,15073
22-Nov-2020,9818389,346122,589089,15696
23-Nov-2020,9779650,359336,613968,16342
24-Nov-2020,9739602,372890,639791,17012
25-Nov-2020,9698226,386779,666582,17708
26-Nov-2020,9655505,400997,694365,18430
27-Nov-2020,9611423,415534,723161,19178
28-Nov-2020,9565966,430383,752994,19952
29-Nov-2020,9519125,445532,783885,20755
30-Nov-2020,9470888,460968,815855,21585
01-Dec-2020,9421252,476677,848923,22444
02-Dec-2020,9370212,492644,883109,23332
03-Dec-2020,9317767,508850,918429,24249
04-Dec-2020,9263922,525277,954901,25196
05-Dec-2020,9208681,541902,992539,26174
06-Dec-2020,9152055,558704,1031355,27182
07-Dec-2020,9094057,575656,1071362,28221
08-Dec-2020,9034703,592733,1112570,29291
09-Dec-2020,8974013,609905,1154985,30392
10-Dec-2020,8912012,627144,1198614,31526
11-Dec-2020,8848727,644418,1243461,32690
12-Dec-2020,8784190,661692,1289527,33887
13-Dec-2020,8718437,678934,1336810,35115
14-Dec-2020,8651507,696108,1385307,36374
15-Dec-2020,8583443,713176,1435012,37665
16-Dec-2020,8514291,730101,1485916,38987
17-Dec-2020,8444103,746845,1538008,40340
18-Dec-2020,8372933,763367,1591274,41723
19-Dec-2020,8300837,779627,1645695,43137
20-Dec-2020,8227875,795588,1701254,44580
21-Dec-2020,8154111,811207,1757926,46051
22-Dec-2020,8079610,826447,1815687,47551
23-Dec-2020,8004441,841267,1874509,49079
24-Dec-2020,7928674,855628,1934360,50634
25-Dec-2020,7852381,869494,1995207,52214
26-Dec-2020,7775637,882827,2057014,53819
27-Dec-2020,7698517,895590,2119740,55448
28-Dec-2020,7621099,907751,2183346,57100
29-Dec-2020,7543457,919278,2247787,58773
30-Dec-2020,7465668,930142,2313018,60468
31-Dec-2020,7387810,940313,2378992,62181
01-Jan-2021,7309959,949767,2445658,63912
02-Jan-2021,7232193,958478,2512965,65660
03-Jan-2021,7154585,966428,2580859,67424
04-Jan-2021,7077210,973598,2649287,69201
05-Jan-2021,7000141,979972,2718193,70990
06-Jan-2021,6923448,985538,2787519,72791
07-Jan-2021,6847200,990286,2857209,74601
08-Jan-2021,6771462,994210,2927206,76419
09-Jan-2021,6696298,997306,2997450,78243
10-Jan-2021,6621769,999572,3067883,80072
11-Jan-2021,6547934,1001011,3138447,81905
12-Jan-2021,6474847,1001626,3209083,83739
13-Jan-2021,6402562,1001426,3279734,85574
14-Jan-2021,6331127,1000420,3350342,87408
15-Jan-2021,6260587,998619,3420851,89239
16-Jan-2021,6190985,996040,3491205,91066
17-Jan-2021,6122360,992697,3561351,92888
18-Jan-2021,6054748,988610,3631234,94703
19-Jan-2021,5988182,983801,3700804,96510
20-Jan-2021,5922690,978290,3770009,98307
21-Jan-2021,5858298,972103,3838802,100094
22-Jan-2021,5795030,965263,3907135,101868
23-Jan-2021,5732905,957798,3974963,103630
24-Jan-2021,5671939,949736,4042244,105377
25-Jan-2021,5612148,941104,4108935,107109
26-Jan-2021,5553540,931932,4174999,108825
27-Jan-2021,5496126,922250,4240397,110523
28-Jan-2021,5439910,912087,4305095,112204
29-Jan-2021,5384896,901475,4369061,113865
30-Jan-2021,5331085,890442,4432263,115506
31-Jan-2021,5278477,879020,4494672,117127
01-Feb-2021,5227067,867238,4556263,118727
02-Feb-2021,5176852,855128,4617011,120304
03-Feb-2021,5127824,842717,4676895,121860
04-Feb-2021,5079975,830036,4735893,123392
05-Feb-2021,5033294,817113,4793988,124901
06-Feb-2021,4987771,803976,4851163,126386
07-Feb-2021,4943393,790651,4907406,127846
08-Feb-2021,4900146,777166,4962702,129282
09-Feb-2021,4858015,763545,5017043,130694
10-Feb-2021,4816985,749813,5070418,132080
11-Feb-2021,4777040,735994,5122821,133441
12-Feb-2021,4738162,722110,5174248,134776
13-Feb-2021,4700332,708184,5224693,136086
14-Feb-2021,4663533,694237,5274156,137371
15-Feb-2021,4627745,680287,5322634,138630
16-Feb-2021,4592950,666353,5370129,139864
17-Feb-2021,4559128,652455,5416642,141071
18-Feb-2021,4526259,638607,5462176,142254
19-Feb-2021,4494322,624826,5506736,143411
20-Feb-2021,4463299,611127,5550326,144543
21-Feb-2021,4433168,597524,5592954,145650
22-Feb-2021,4403909,584029,5634626,146733
23-Feb-2021,4375502,570654,5675350,147790
24-Feb-2021,4347927,557411,5715135,148824
25-Feb-2021,4321163,544309,5753991,149833
26-Feb-2021,4295192,531358,5791928,150818
27-Feb-2021,4269993,518567,5828957,151780
28-Feb-2021,4245546,505942,5865089,152718
01-Mar-2021,4221833,493492,5900337,153634
02-Mar-2021,4198834,481222,5934714,154526
03-Mar-2021,4176530,469138,5968231,155397
04-Mar-2021,4154902,457245,6000903,156245
05-Mar-2021,4133934,445547,6032743,157072
06-Mar-2021,4113606,434048,6063764,157878
07-Mar-2021,4093901,422751,6093981,158663
08-Mar-2021,4074801,411659,6123409,159427
09-Mar-2021,4056291,400773,6152062,160171
