datetime,S,I,Q,R,D
11-Feb-2021,10099314,97455,105141,457188,11389
12-Feb-2021,10091214,95981,105726,466007,11560
13-Feb-2021,10083242,94522,106124,474867,11732
14-Feb-2021,10075398,93079,106352,483753,11904
15-Feb-2021,10067680,91653,106425,492652,12077
16-Feb-2021,10060087,90242,106358,501551,12250
17-Feb-2021,10052616,88848,106163,510439,12422
18-Feb-2021,10045266,87470,105852,519305,12595
19-Feb-2021,10038035,86108,105437,528141,12766
20-Feb-2021,10030923,84762,104927,536939,12937
21-Feb-2021,10023926,83432,104332,545690,13107
22-Feb-2021,10017045,82119,103660,554388,13276
23-Feb-2021,10010276,80821,102919,563027,13443
24-Feb-2021,10003620,79540,102117,571601,13610
25-Feb-2021,9997073,78275,101259,580106,13775
26-Feb-2021,9990635,77025,100352,588537,13939
