datetime,S,I,r,D
14-Sep-2020,10712930,14121,41972,1463
15-Sep-2020,10712930,13085,42984,1487
16-Sep-2020,10712930,12125,43921,1510
17-Sep-2020,10712930,11236,44790,1531
18-Sep-2020,10712930,10411,45595,1550
19-Sep-2020,10712930,9647,46341,1568
20-Sep-2020,10712930,8940,47032,1585
21-Sep-2020,10712930,8284,47672,1600
22-Sep-2020,10712930,7676,48266,1615
23-Sep-2020,10712930,7113,48816,1628
24-Sep-2020,10712930,6591,49325,1640
25-Sep-2020,10712930,6107,49798,1652
26-Sep-2020,10712930,5659,50235,1662
27-Sep-2020,10712930,5244,50641,1672
28-Sep-2020,10712930,4859,51016,1681
