Kasus Corona di Surabaya;;;;;;;;;;;;;
;;;;;;;;;;;;;
Sumber;http://infocovid19.jatimprov.go.id;;;;;;;;;;;;
Tanggal;Data Konfirmasi;;;Data Suspek & Probable;;;;;Kontak Erat;;;;
;Positif;Sembuh;Meninggal;Suspek;Probable;Isolasi;Discarded;Meninggal;Kontak baru;Kontak dilacak;Kontak konfirmasi;Kontak suspek;Kontak discarded
6/15/2020;4119;1300;328;2789;0;0;0;0;0;0;0;0;0
6/16/2020;4181;1331;333;2849;0;0;0;0;0;0;0;0;0
6/17/2020;4262;1376;333;2898;0;0;0;0;0;0;0;0;0
6/18/2020;4383;1426;338;2946;0;0;0;0;0;0;0;0;0
6/19/2020;4467;1487;346;3017;0;0;0;0;0;0;0;0;0
6/20/2020;4572;1559;348;3043;0;0;0;0;0;0;0;0;0
6/21/2020;4628;1595;355;3064;0;0;0;0;0;0;0;0;0
6/22/2020;4771;1631;359;2750;0;0;0;0;0;0;0;0;0
6/23/2020;4878;1670;362;2865;0;0;0;0;0;0;0;0;0
6/24/2020;4962;1838;369;2889;0;0;0;0;0;0;0;0;0
6/25/2020;5157;1968;382;2881;0;0;0;0;0;0;0;0;0
6/26/2020;5344;2068;392;2916;0;0;0;0;0;0;0;0;0
6/27/2020;5414;2118;400;2925;0;0;0;0;0;0;0;0;0
6/28/2020;5510;2238;418;2926;0;0;0;0;0;0;0;0;0
6/29/2020;5605;2314;434;2923;0;0;0;0;0;0;0;0;0
6/30/2020;5815;2425;454;2918;0;0;0;0;0;0;0;0;0
7/1/2020;5971;2543;464;2914;0;0;0;0;0;0;0;0;0
7/2/2020;6099;2737;473;2835;0;0;0;0;0;0;0;0;0
7/3/2020;6198;2791;482;2760;0;0;0;0;0;0;0;0;0
7/4/2020;6329;2890;498;2776;0;0;0;0;0;0;0;0;0
7/5/2020;6465;2930;510;2753;0;0;0;0;0;0;0;0;0
7/6/2020;6517;3006;525;2721;0;0;0;0;0;0;0;0;0
7/7/2020;6573;3071;540;2757;0;0;0;0;0;0;0;0;0
7/8/2020;6681;3143;557;2745;0;0;0;0;0;0;0;0;0
7/9/2020;6781;3219;573;2737;0;0;0;0;0;0;0;0;0
7/10/2020;6882;3320;589;2730;0;0;0;0;0;0;0;0;0
7/11/2020;7092;3395;600;2703;0;0;0;0;0;0;0;0;0
7/12/2020;7209;3477;610;2643;0;0;0;0;0;0;0;0;0
7/13/2020;7255;3580;622;2618;0;0;0;0;0;0;0;0;0
7/14/2020;7331;3705;638;2643;0;0;0;0;0;0;0;0;0
7/15/2020;7392;3840;649;2629;0;0;0;0;0;0;0;0;0
7/16/2020;7431;3974;665;2611;0;0;0;0;0;0;0;0;0
7/17/2020;7505;4104;669;2638;0;0;0;0;0;0;0;0;0
7/18/2020;7586;4236;680;2664;0;0;0;0;0;0;0;0;0
7/19/2020;7685;4284;689;2684;0;0;0;0;0;0;0;0;0
7/20/2020;7787;4389;700;2653;0;0;0;0;0;0;0;0;0
7/21/2020;7895;4432;712;2618;0;0;0;0;0;0;0;0;0
7/22/2020;7994;4494;723;2598;0;0;0;0;0;0;0;0;0
7/23/2020;8089;4593;729;2459;0;0;0;0;0;0;0;0;0
7/24/2020;8181;4638;734;2422;0;0;0;0;0;0;0;0;0
7/25/2020;8268;4695;739;2389;0;0;0;0;0;0;0;0;0
7/26/2020;8347;4733;743;2408;0;0;0;0;0;0;0;0;0
7/27/2020;8420;4798;748;2435;0;0;0;0;0;0;0;0;0
7/28/2020;8489;4899;754;2421;0;0;0;0;0;0;0;0;0
7/29/2020;8553;5001;759;2415;0;0;0;0;0;0;0;0;0
7/30/2020;8623;5121;765;2423;0;0;0;0;0;0;0;0;0
7/31/2020;8691;5244;771;2344;0;0;0;0;0;0;0;0;0
8/1/2020;8756;5381;776;2219;0;0;0;0;0;0;0;0;0
8/2/2020;8871;5496;782;2272;6;53;57;6;315;40;40;0;275
8/3/2020;8982;5597;781;2301;10;2174;0;10;23595;3113;3113;43;169213
8/4/2020;9087;5707;794;2806;14;2806;0;797;193219;1690;1690;43;169737
8/5/2020;9191;5822;800;2806;799;2806;0;799;193473;1709;1709;43;170026
8/6/2020;9293;5932;804;2086;799;2086;0;799;193780;9293;1749;43;170323
8/7/2020;9393;6039;809;2086;801;2086;0;801;194102;9393;1796;43;170664
8/8/2020;9508;6166;814;2224;826;2224;0;812;194404;9508;1830;48;171659
8/9/2020;9626;6308;819;2299;830;2299;0;816;195177;9626;1881;48;171898
8/10/2020;9751;6438;826;2315;856;2315;0;825;195949;9751;1914;50;172018
8/11/2020;9875;6569;831;2329;888;2329;0;830;196386;9875;1962;50;172379
8/12/2020;9980;6680;834;2322;899;2322;47;834;196797;9980;1990;50;172860
8/13/2020;10112;6855;839;2314;918;2314;97;845;197694;10112;2035;50;173113
8/14/2020;10309;7075;843;2346;928;2346;104;849;198220;10309;2121;50;173495
8/15/2020;10515;7305;849;2374;938;2374;110;852;198590;10515;2191;50;173822
8/16/2020;10662;7515;854;2401;940;2401;123;854;198966;10662;2249;50;174254
8/17/2020;10774;7727;858;2204;949;2204;316;855;199379;10774;2292;50;174604
8/18/2020;10899;7914;863;1914;978;1914;572;860;199718;10899;2338;50;175025
8/19/2020;11019;8109;869;1355;999;1355;1096;870;200180;11019;2383;50;175536
8/20/2020;11129;8309;873;471;121;471;1504;37;200564;11129;2430;50;176138
8/21/2020;11241;8501;879;484;129;484;1553;37;200954;11241;2462;50;176440
8/22/2020;11351;8631;884;456;166;456;1641;38;201304;11351;2501;50;176777
8/23/2020;11446;8751;889;410;170;410;1749;38;201707;11446;2538;50;177214
