datetime,S,I,Q,R,D
25-Mar-2021,9668226,138570,156715,787711,19266
26-Mar-2021,9657220,135985,156933,800829,19520
27-Mar-2021,9646433,133435,156890,813953,19775
28-Mar-2021,9635861,130921,156611,827065,20030
29-Mar-2021,9625499,128444,156117,840143,20284
30-Mar-2021,9615345,126003,155431,853172,20536
31-Mar-2021,9605394,123598,154570,866137,20788
01-Apr-2021,9595644,121229,153553,879022,21038
02-Apr-2021,9586090,118896,152397,891817,21287
03-Apr-2021,9576730,116598,151115,904510,21533
04-Apr-2021,9567561,114337,149722,917091,21777
05-Apr-2021,9558577,112110,148229,929551,22019
06-Apr-2021,9549778,109919,146649,941882,22259
07-Apr-2021,9541158,107763,144992,954078,22496
08-Apr-2021,9532716,105642,143267,966133,22730
09-Apr-2021,9524447,103555,141484,978040,22961
