datetime,S,I,Q,R,D
08-Apr-2021,9532716,105642,143267,966133,22730
09-Apr-2021,9523860,106189,142762,974740,22935
10-Apr-2021,9514968,106730,142329,983320,23139
11-Apr-2021,9506039,107266,141963,991876,23343
12-Apr-2021,9497074,107796,141659,1000411,23547
13-Apr-2021,9488073,108321,141413,1008930,23750
14-Apr-2021,9479038,108839,141222,1017436,23952
15-Apr-2021,9469969,109351,141081,1025932,24155
16-Apr-2021,9460865,109856,140987,1034421,24357
17-Apr-2021,9451729,110356,140937,1042906,24559
18-Apr-2021,9442561,110848,140928,1051388,24761
19-Apr-2021,9433361,111334,140957,1059872,24964
20-Apr-2021,9424130,111812,141020,1068358,25166
21-Apr-2021,9414869,112284,141116,1076849,25368
22-Apr-2021,9405579,112749,141242,1085347,25571
23-Apr-2021,9396260,113206,141395,1093853,25773
24-Apr-2021,9386912,113656,141574,1102369,25976
25-Apr-2021,9377537,114098,141776,1110896,26180
26-Apr-2021,9368136,114532,141999,1119437,26383
27-Apr-2021,9358708,114959,142242,1127991,26587
28-Apr-2021,9349255,115378,142502,1136560,26791
29-Apr-2021,9339778,115788,142778,1145146,26996
30-Apr-2021,9330278,116191,143069,1153749,27201
01-May-2021,9320754,116585,143373,1162370,27406
02-May-2021,9311208,116970,143688,1171009,27612
03-May-2021,9301641,117347,144013,1179667,27819
04-May-2021,9292053,117716,144347,1188346,28025
05-May-2021,9282446,118075,144689,1197045,28233
06-May-2021,9272819,118426,145037,1205764,28440
07-May-2021,9263175,118767,145391,1214505,28649
08-May-2021,9253513,119100,145750,1223267,28858
09-May-2021,9243834,119423,146112,1232051,29067
10-May-2021,9234140,119737,146476,1240856,29277
11-May-2021,9224431,120042,146843,1249684,29487
12-May-2021,9214708,120337,147210,1258534,29698
13-May-2021,9204972,120623,147577,1267406,29910
14-May-2021,9195223,120899,147944,1276300,30121
15-May-2021,9185463,121165,148310,1285216,30334
16-May-2021,9175692,121421,148673,1294154,30547
17-May-2021,9165911,121668,149034,1303113,30761
18-May-2021,9156122,121904,149392,1312095,30975
19-May-2021,9146324,122131,149746,1321097,31189
20-May-2021,9136519,122347,150095,1330121,31404
21-May-2021,9126708,122553,150440,1339166,31620
22-May-2021,9116891,122749,150779,1348232,31836
23-May-2021,9107069,122935,151113,1357318,32052
24-May-2021,9097243,123110,151441,1366423,32269
25-May-2021,9087415,123275,151761,1375548,32487
26-May-2021,9077584,123430,152075,1384693,32705
27-May-2021,9067752,123574,152382,1393856,32923
28-May-2021,9057920,123708,152680,1403037,33142
29-May-2021,9048088,123831,152971,1412236,33361
30-May-2021,9038258,123943,153253,1421452,33581
31-May-2021,9028430,124045,153527,1430685,33801
01-Jun-2021,9018605,124136,153791,1439934,34021
02-Jun-2021,9008783,124217,154046,1449198,34242
03-Jun-2021,8998967,124287,154292,1458478,34463
04-Jun-2021,8989156,124346,154528,1467772,34685
05-Jun-2021,8979351,124395,154754,1477080,34906
06-Jun-2021,8969554,124433,154969,1486402,35129
07-Jun-2021,8959765,124460,155175,1495736,35351
08-Jun-2021,8949985,124477,155369,1505082,35574
09-Jun-2021,8940215,124483,155553,1514440,35797
10-Jun-2021,8930455,124478,155726,1523808,36020
11-Jun-2021,8920707,124463,155888,1533186,36244
12-Jun-2021,8910971,124436,156039,1542574,36467
13-Jun-2021,8901248,124400,156178,1551970,36691
14-Jun-2021,8891539,124353,156305,1561375,36915
15-Jun-2021,8881844,124295,156422,1570787,37140
16-Jun-2021,8872165,124226,156526,1580205,37364
17-Jun-2021,8862503,124148,156618,1589630,37589
18-Jun-2021,8852857,124058,156699,1599059,37814
19-Jun-2021,8843229,123959,156767,1608493,38038
20-Jun-2021,8833620,123848,156824,1617931,38263
21-Jun-2021,8824031,123728,156868,1627372,38488
22-Jun-2021,8814461,123597,156900,1636815,38713
23-Jun-2021,8804912,123456,156920,1646260,38938
24-Jun-2021,8795385,123305,156928,1655706,39163
25-Jun-2021,8785880,123144,156923,1665151,39389
26-Jun-2021,8776398,122973,156906,1674596,39614
27-Jun-2021,8766940,122792,156876,1684040,39839
28-Jun-2021,8757507,122601,156834,1693481,40064
29-Jun-2021,8748099,122400,156780,1702920,40289
30-Jun-2021,8738716,122189,156713,1712355,40514
01-Jul-2021,8729360,121969,156634,1721785,40738
02-Jul-2021,8720032,121739,156542,1731211,40963
